"","sample01","sample02","sample03","sample04","sample05","sample06","sample07","sample08","sample09","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30"
"gene011",7.30486965422349,5.63276535725903,5.9749074491326,5.82447412975787,4.79877794926001,6.8727554116714,5.92903781875,5.15118430305108,5.29756052668759,6.81436591467991,10.1149717984954,9.58771625711858,7.13418615138005,8.40081809710288,8.74115883162133,9.60460362672581,7.87171146480263,9.21954801087329,9.21621154625776,9.9398010235143,5.70154401203478,5.66579134334493,5.27562040727564,6.64968355116773,4.88537559782203,7.97752999445585,7.77400936515502,4.49172334386976,5.37341243176928,4.44790738535258
"gene012",8.28664539270111,6.18523056486561,6.10807272794203,4.92821761584932,8.03697216698315,6.96954501397012,5.24107934626905,4.9114801380428,5.68856978198808,8.09803081013037,5.58705514707291,6.08964229600072,6.24517906343969,7.25690664397164,7.72955817989149,5.98085923083107,7.67099730539817,6.37029442136456,6.18766381702644,6.16337469340677,8.71638862305463,8.93501925618156,9.68677908757474,8.00075013523144,9.90506426556389,8.38439420515638,9.76596791597657,10.5391699277675,8.95894797765861,8.02151053469142
"gene013",7.61113929888766,9.58182372736551,8.51456476415333,9.16320688246738,9.10777474488555,9.38384666502709,7.96564063906085,8.51570942888283,7.33684296933262,9.30098005515257,4.87102260199317,6.96726165694984,8.22353430190807,6.05350801362736,5.94160783459263,5.92028565262119,7.01035303245212,6.27910839373061,7.2586221252136,5.11186144135961,6.86951930664876,6.0810815387134,6.45008579164461,6.04197238367631,6.32809601548413,7.51942160121109,6.83228784301075,7.346018088596,6.19995321983244,6.02721835515998
"gene014",5.72121123318263,7.39973682729268,5.4957828693121,5.63726158437205,5.91589189949442,4.14844433693253,5.36926804602918,5.66368879099043,5.24946655820771,4.91692485816077,8.91206866822295,9.07881235291482,9.27337606414446,9.72809251767185,8.46293621539108,9.1159844644028,9.22352121587446,9.20194243731332,9.52351778090896,8.27383901724365,5.45564471530102,5.55178520446116,7.04522160610504,7.77704370004004,7.07808996004782,5.56710480643819,4.09454247752688,5.15714422249848,5.46669439947262,4.28442768300291
"gene015",5.86667866360634,5.27270794052554,4.33890092008519,6.59001354798734,6.49561964160459,5.94600326317383,6.586807720013,5.84664210933836,5.22264824081849,4.99367749819672,8.24190369331262,4.43130016351391,7.13078479452828,7.56109806821061,6.74728669616574,6.74417336404839,3.79351540679038,5.98700345756866,7.11545427747996,6.40759700561374,9.6288032353776,6.44619304973403,9.14962903443744,9.34718267733721,8.9396844462975,7.96898229193829,8.97916332380559,8.33012577219234,8.73396768231599,8.49511197350729
"gene016",9.63595039807007,10.3025426320441,8.61766627312618,10.432421927731,9.03741518611796,10.0647732143383,8.58367734381635,8.75675277142515,8.2774303001404,8.96458543508239,8.04131317075049,3.99217681598391,6.8386693740601,6.26562475359719,5.51274216461027,5.56870939647231,5.04541438144684,5.90913499392251,5.04249775782953,7.68353633925179,4.57766554205461,5.68706746488099,4.85893284679931,5.71290255385021,5.75648123803688,4.86566550167729,5.59106608755178,5.09151255185388,7.08414781411867,5.69507731908243
"gene017",5.71574707858393,6.33584811975207,5.4873497421222,5.00730748889051,5.86791196304409,6.8131950374116,5.21511219049468,7.89220204160011,3.81116540085293,7.30912436085342,7.28019966327855,9.54097352423876,8.34538472212179,10.0767262592073,10.3729077814795,8.50047104808877,8.93142693278976,10.3650313653188,8.87559442014457,10.7059798235646,4.77248736666572,6.0413831520403,6.80249940241966,4.07542334789089,8.24142256068828,5.77890187462247,4.6236136934232,5.86345935820231,5.81925452037496,7.34607823542665
"gene018",3.34354457909522,7.03850609869762,8.7018910003448,6.45465029758028,7.4767874235521,5.80918352589572,6.1634163194861,4.61400166271458,6.21341855028655,6.75040048664672,5.64309334387761,5.92662340189157,6.9539609784794,6.21069793167925,5.62232763935378,5.13483792324429,6.76130590156527,6.90813056888317,6.19173782904997,4.07383329917392,7.32589448425557,7.26227193866238,8.27128346903055,8.19935089066009,6.96400702914417,8.97758530109605,9.72743037439326,8.49896203670875,9.25155531937823,8.7424633092033
"gene019",3.55953307142448,6.92072856829065,4.63788376881028,6.08489805867849,5.7829697899079,3.3000701914363,4.76328576489065,5.58517569929222,5.36807706374517,3.86163167238758,7.53328049216229,5.42898160644192,6.35295146548932,4.48832647417763,5.38384738588161,5.04224271672813,4.82009580004171,5.39011182859809,6.27221725060335,5.16600198477154,6.08439848224488,6.54993965969838,6.52720928572848,5.42438202927338,6.39091446508284,5.67709817197603,7.23413078123709,6.1126384468164,6.36954223515489,5.47671269934167
"gene020",7.32011334573019,6.72087816286686,6.13725621855861,6.89556558226454,4.71639779590777,6.06096663880112,7.04587377623667,6.34908152810683,7.52049119383216,5.29964589113337,5.96175590338976,5.68893154014636,6.20659929264961,6.02240225991363,4.83187494892531,6.32679997133864,9.21119895676729,7.39643722121945,5.30618553632675,7.41913251633319,5.7938743360296,5.40272630740668,7.67347877221231,6.68420573267036,6.38481334289965,7.05222315972554,5.44677559412253,4.12478243690573,6.40703425938977,5.33678220102737
"gene021",5.69336140592153,4.95688106143214,4.50637493268371,5.77022186105373,6.3856678904434,6.57375169748358,5.51540458378129,7.62844226581541,6.79595594941508,5.99094352470701,7.59741324232643,5.32858493289863,7.00111323431025,6.7181362060421,6.32864035859109,7.54737222568517,3.44617514904917,6.14479837330845,7.47917192085213,4.93589028498076,7.44187164028206,7.44774180603655,4.58117197972917,6.48345734761714,6.4386955995414,6.1895411656952,5.77080982207127,6.15854671445832,6.49250501924578,6.44722103969266
"gene022",4.21869156602,5.90981361338929,4.5295642585632,6.83661906846061,5.64848712647091,6.0458035797251,6.18912881168067,6.08852189571362,4.5464704348672,4.54186651275523,5.66641460669012,5.84265954791902,6.74745199164028,6.48945701784227,7.46651062744017,5.03114043113557,5.76406605066594,5.3593932284047,5.38823297835723,4.38642252751955,5.95821789661464,6.26486811426426,7.56191080116889,6.01396340870738,6.55814090204657,5.89417239113413,7.71146198892227,6.015562671264,6.05463257905231,5.68054901807399
"gene023",5.82808264424038,6.62351816199954,6.12470238619701,4.25494413866331,5.47820390664373,6.15741254017588,6.05100633157497,7.23915070840056,6.09839542100584,6.69452964649487,6.60498592391538,5.06869492900013,5.37342516327686,5.82611165412173,5.64399045491109,5.81155957374054,5.74043735673857,6.16980225955853,4.38569002564065,6.59981108869743,7.35375447776378,5.21121719221753,7.35316100891808,6.18024373462512,5.72359361702255,5.39744552746728,4.35019209670299,4.39939653873987,5.29132592383809,5.45622115006308
"gene024",7.2146746991726,5.04647664222766,5.00336086511596,7.68945892131337,4.93186879931283,6.43156537286877,5.99975933111356,4.35544446424629,5.40622901576685,3.53866452481351,6.22424123925025,4.01699052052987,6.39522368593671,4.7823005113316,6.26146764187743,4.96999883854408,5.33663308338081,5.84281251257916,6.40249011059067,7.73296470538705,7.94522527592283,6.16773222067153,5.47130322330844,5.7118767516915,7.16628807898223,4.70398406873796,6.74422078543782,6.27597308916996,5.94172924755645,5.72032655751149
"gene025",7.89519346126496,5.45717118542614,5.99817738569529,6.86477797851858,6.42836590326669,5.60345026394979,7.80938204244287,7.44635652537848,6.88828116863452,6.14328976404046,9.22906949548006,5.78040019575062,5.10783204595442,6.64639836870946,6.33332885517573,6.9080864418605,5.68100928917385,6.1009395945461,6.66455544728948,7.93450456245773,5.50906176629186,6.25758310820126,5.74872722452072,6.03022722289023,3.54572276506261,4.04067336129345,5.68597867601908,6.05495263987091,5.03657817776249,7.06523260036693
"gene026",5.5695308683938,6.58099649768168,5.57174111857418,5.84922401111425,5.825981765573,7.30997822575155,5.17467204289006,5.30943982833482,6.05307041549867,5.60877788087294,6.92045256677252,7.04527586946239,6.63081841009177,5.08354397165211,7.42219324030954,5.68261813529187,6.74239515757232,5.02660584585172,6.94412707099494,6.53282057567079,6.38843907494461,6.91204736745031,5.3141523137075,6.27167410852949,5.19443374054543,6.21341173052117,5.88468915859555,5.76942664530274,6.09339329660587,7.56782874914562
"gene027",5.74273061723107,6.76817873783459,5.3863283935505,4.55099286986083,6.51566772864803,6.47039339987394,7.14547045222799,5.72356891454615,5.44297637415534,5.50883591438592,4.79346093078408,7.87732956629967,5.56729481671543,4.74817655757443,6.66387660066617,6.17900396654042,5.12570732421423,5.1801747247468,5.05373920229171,6.71966575601978,5.15510674081402,5.84312761744513,5.42963234774588,6.44915842741343,5.88085544937998,6.02533587011124,5.38902565722786,5.98678370939611,5.65209886654089,5.35688792104146
"gene028",4.23683691480522,6.46376758854017,3.97532215458089,6.64300870004198,5.76563472269408,4.7573297294254,6.03157318755324,4.89058124010056,6.43839703617272,5.71635254754795,5.39611883083673,6.00260619595717,6.45213864421852,6.5949277184055,4.92634484430469,6.34802818772918,3.91718623369672,7.36291896902543,5.7517115507611,6.56009338575518,6.73799036787109,3.96662429155291,6.57963138154616,7.82762765843039,6.16321623413879,7.36502318785994,7.09669537901904,6.38494919602233,5.88166556185445,6.02052174851069
"gene029",6.46009735483127,5.11422370259032,4.77525204964001,6.48319386381477,5.34149657417823,7.38157545638553,5.16479419469328,6.13386931642945,6.15260815864242,6.31479480470784,6.37023528462206,5.91933006529083,6.36799904519635,4.76718933481017,5.30309822533326,4.94572097872556,6.09376790281022,6.96137093053128,4.67156353146092,5.98191306834003,4.92023966871614,4.70033417692142,5.10104099474789,4.88797628911619,6.40647950776292,6.29109380824486,4.87283238891624,6.34672371700125,4.90090904282508,5.67581554162452
"gene030",5.36000512403988,4.90021910135214,6.17951644111794,5.99364437357861,7.25023660407872,7.20445893700982,5.93123635098349,7.78533905173155,5.83538241825044,6.39632657793899,4.09899935332039,6.96298228123987,5.72961251033809,6.24436441490614,5.25386954306544,5.8952557118893,5.9981801879972,5.11627552559889,6.84476374209892,2.62826091744949,4.97352612375637,5.14274934007096,5.80967011208722,7.47480743158371,6.63933999564431,6.79721770112609,6.9626094924383,5.56838723942137,5.71692358757777,7.85739602217537
"gene031",6.45545012324122,7.51270700980493,6.56762059442354,6.15145589286242,5.7282362848886,6.82407396368188,6.74677168701247,8.42216335525159,8.01989062147597,5.77439628896404,4.19559005503676,6.05357101654652,6.46551261771298,6.00277218534359,6.14157287213222,5.77165738290547,5.98689934762843,5.09990788456368,6.34769673243865,6.76070324475976,6.28879336157888,6.42626529453619,5.85609662265354,6.67151246014439,4.49148236262765,6.04098637437566,7.40646401623189,7.1501780393287,4.91026532715439,6.59076399506906
"gene032",6.70483733722882,6.25792143753203,5.50712264644653,5.4158910296502,6.9479519958752,4.33737059781441,5.5744812656054,4.92317109788159,5.47061411368274,4.07504956965944,4.87817739364478,5.56510159108996,6.57435622562697,4.67179031397444,5.99605277926935,6.67535556242754,6.6679680745581,7.72333313279683,6.91376258643111,5.60877314775679,6.09081131928717,5.71516373691525,5.90342734871244,4.45467145628557,6.00767060439703,5.18167595037411,4.3583504911003,5.96346780711212,5.59433445590014,4.2193732826036
"gene033",7.03510352196992,6.08844022915959,6.00006288406535,6.36880673263024,4.79841756989106,5.43069365639452,5.22791776480654,6.4859411104031,5.52921302701596,4.56077070167802,5.65207039344086,4.26270274465769,5.76930000984259,7.17969641183277,6.36793750109177,4.76675530649369,5.98683229704784,7.90904216212893,6.60827455338068,7.00990122381185,6.26262317671122,5.38563145803014,6.18144671572236,5.7229527720089,6.52416802200039,6.28964064316443,4.87309580745077,5.86419857826344,6.52690725959776,5.56589130042469
"gene034",5.39107362459279,5.87910346246091,7.12288964337997,6.29465433971952,5.5338839036245,6.63551381728953,6.15276410674789,7.38852173874429,4.45406307598248,4.5303422260276,7.23890214863198,4.73630440021757,7.17224250830245,5.40719500085107,5.34265708530275,4.80003845557722,6.7760470304763,5.22285880414474,5.39245201219551,5.37302685292625,6.06933491279125,5.15510916784252,7.59657420918631,5.37065700802802,7.32633587157079,6.33978711130112,6.59154548050242,6.94461804564452,6.2404199817755,3.70725028829398
"gene035",6.50495512329797,4.80567110483947,7.43985574297619,5.72074062665742,5.73064860484682,6.04372200757786,6.9885968451788,5.80434318271546,5.95947327670482,6.76186344689193,5.72580243514772,6.40630851206927,7.39270270673312,7.19997831633667,5.62365332983895,6.76586657661611,3.98926466736474,4.69769473738689,6.17965807087184,4.36542263049814,5.47135618114318,6.15369495721887,5.54866826010654,5.06699954838025,5.88643226556744,5.18260726923657,5.04369088049406,6.99204136167006,6.89836245724937,5.90703476154846
"gene036",4.28299132092666,6.61199689804039,4.90288623159418,4.66376334510685,5.60903459186914,6.34801230366131,5.92654166532783,5.78182520229379,6.89035630547068,5.75638501812872,6.16238071555819,4.54034603222024,5.33800874429042,5.52496632038787,6.74136006042508,5.41190213871702,4.8718195050282,8.62349516681868,4.09159058058262,7.24524265203048,5.86979783548123,5.14856772422181,5.20511977519918,4.46211351577174,7.59914947839686,5.97125068477192,5.30847011365361,5.2993302450311,6.48796812693548,6.70396445332971
"gene037",5.2155409916205,5.78286015425348,5.88268043974982,6.70074881844003,7.34870701199171,8.45959354887042,4.61297344644026,5.69522204545355,3.92861214907079,6.26967660741801,5.93539309024694,7.0484573701547,5.22263079327499,5.42494290384918,5.90039324355153,5.33970417002442,6.34879957158572,6.22962891434681,6.5029462576891,6.1813774465554,7.62015874435582,5.60207892705712,6.79228434965229,5.50589795040005,5.71847190107182,8.00078165111199,5.55464723264864,5.00894132816541,6.11199136519754,5.10551037874323
"gene038",5.14909240582348,5.81724329366808,7.2014984009197,6.55419662227403,5.97723529870159,5.18161967560033,4.69332409562464,6.59783272411144,5.74993487992698,4.44107247904418,5.29476290297486,4.6535694605498,6.51353857890878,5.9687739753915,5.34571012139291,6.11301352219734,5.64710151790308,6.18674989214189,6.9688991534785,9.4953042639856,5.98210487667653,5.06002277371905,6.38047229976103,5.5646399847298,5.95010186108949,4.87073393671538,5.65551577167343,5.29438194734118,6.99831334713622,4.71749320792538
"gene039",3.58579235005337,6.93334632857116,5.5302704194337,5.16369340719858,6.24422585110345,3.88679988507086,5.23160467492206,7.39742941081576,4.81834957334668,5.46441199330369,7.36219726875099,5.80642944188651,5.08668776195873,5.64194300402154,6.97116437406127,5.67960120031396,6.94477459791762,6.07613663495028,5.12426287422667,6.91559191332691,4.68151060105071,4.61174625858058,6.23578798299245,5.67645532371977,6.16021412732112,7.47217859206972,6.70369818524612,4.82422410667178,7.19171680875342,7.25578417415048
"gene040",6.03612260689226,6.82177311050825,5.947530515061,4.40541183799376,5.05762829213608,6.27369527243041,5.47289187462554,6.68761976123996,7.44193726501691,6.56245197317349,4.90348681191668,5.99766404288632,5.5505761947497,5.64339892235227,6.01349631156839,7.86638149693879,4.99528014747354,7.40486018632133,3.86397546130199,7.04850651742624,5.15543983941872,6.9551845888634,6.59098826352041,3.93888638108381,5.49761943759467,5.7729310835151,5.39699423520574,4.21880304825968,4.60061243287629,5.03537002041162
"gene041",6.20599860020025,7.39211637593427,5.91389270176291,6.20495858058763,5.27078272349043,5.31240315875659,5.97857293495838,6.32018801429697,7.35789553887886,5.82167387658008,5.77156648145311,5.98717026613281,6.80293269910362,5.12233561656627,5.08346533297845,6.2595314557678,6.72390273249685,5.80827776466368,4.47717241841499,6.76382493693486,4.89818512750889,4.68250452996762,4.58806979792111,6.44150255509554,6.71593804877619,7.48231059624201,6.08935041241468,6.31060752183839,6.89214773664677,6.90778388106409
"gene042",5.63894270145133,5.52382607694533,5.11232098209357,5.65491202202711,6.99806890855485,6.44604105296187,6.67049807099628,5.69813007422274,6.33450284734065,5.88486401379735,5.65217191938973,6.1519473219844,5.4265231490189,4.78710287482204,7.70968856126164,6.16156007091807,5.33116725900964,7.45939216415609,4.88688179211393,5.3966126231406,5.0999098569925,6.07302914615962,7.06329579229111,6.74635124656637,4.65421269683679,5.15694682551271,6.7374946372199,5.85488963905057,6.77795897034081,6.21407361366917
"gene043",6.75816323569952,6.65034856072631,5.55531599511526,6.25261170336445,7.25848166459556,5.1876152762094,5.56538296142759,6.49834868555795,7.42933808040023,5.92793852789363,6.53212861950673,6.59851113140108,4.07187483215167,6.61328661868703,4.83189901005334,6.93107490933535,4.8869598062842,5.77934454886546,7.2409838955359,5.62957033729722,4.73891608017752,5.43181415143163,6.45391787889759,6.78964287382469,5.99435643469785,5.9338046725441,4.45962055542823,6.64254975369246,6.94191451634695,6.88102312274897
"gene044",5.27329517292342,7.39111045639,5.97055512091176,4.70599753451545,7.2488636888101,8.21205548033513,4.88612021668715,5.45046308208324,5.13268214912132,7.2109098069263,7.60723456226119,5.87378756270172,6.66439083382215,5.19379665853752,4.21896373984748,5.94005325074038,5.65719481063306,6.50514588627314,6.00348193506299,7.05982593833365,3.3741510975171,4.94154933121617,6.95131297701979,6.77074050703954,5.45945745026047,6.31123349835786,5.31036770735119,5.9983406376987,5.0911972876989,7.00254499828277
"gene045",4.63171895558071,4.8892111205521,5.58613115094208,5.04082955561964,4.61936295047467,5.87629402842257,6.6071059948785,5.72074349636276,6.95065172497189,5.3851030992003,6.51381452611659,5.75146443415322,4.39745977620575,4.62354307009111,3.74686755143178,6.04873970007745,6.04977932316874,4.96650299392712,4.76220541400693,7.05511052983939,6.66906574919057,6.25931353841707,5.40148228659848,6.20050631783037,5.45292625915032,5.88740977169659,6.85979346020943,6.40916296207735,8.40893084447621,7.13991050456775
"gene046",6.43281802588872,5.13920741312216,7.1133860233682,7.0857748536799,8.04996069363639,5.52266449396995,6.27545696873959,7.09651344311173,5.41498849136677,6.6761264583147,7.38237316057303,6.16032739490462,4.64539974254615,5.49215210083645,6.6511259695467,4.92712459926604,4.77231803847446,6.17047347145922,6.55569911889803,6.58297216112032,6.66004150923078,6.37313450451916,4.15805994965386,7.46835003167775,7.15144538704443,6.65873883894264,5.62348025932423,5.50394185268985,3.40574982569192,7.23603585230776
"gene047",5.18860682381333,4.86826131914623,5.51900715834602,6.40377490471571,7.01687282979954,5.83373850851339,7.15734706941474,6.44201308817881,6.32095752252563,6.89859960553755,6.7630970485499,5.56635805840273,2.9820673205821,5.19906451326266,5.46716737439723,3.70702856951933,5.23599408917255,7.20066816089193,3.8168506506401,5.01343256446046,5.74939956460889,7.26466676928415,5.51541046685207,5.12354451605925,7.05221968194591,5.83313849989051,3.46491652969477,5.03989204109883,6.00686303751409,6.29540151014267
"gene048",7.44410126172125,4.5407860004976,5.56683096739927,6.5864875367193,5.97328253586174,6.86256338362643,4.31751914052174,6.24101629402611,5.70060398333509,4.81068209647898,5.37541545536589,7.53741241910027,6.83123782223006,3.80721431432993,5.72444064302772,4.79279314993566,4.75381793838212,5.83659408523426,5.75297554290275,7.68462181174398,5.27620268304618,6.32522499606826,5.0931531849766,4.77339530627889,7.59802652870266,7.20887346516015,5.14219077138279,6.77813222457043,6.11810666892834,6.17176102360546
"gene049",5.56855379738665,6.07998255324116,6.6968625765521,7.81522844615395,6.70360777879826,6.09734048520282,6.08731908889487,5.74439234464448,5.72145691670693,6.12125884981901,6.08154380042899,3.82975342338392,6.25109708884734,5.70906285073232,6.28962697262905,6.11410942979719,7.01677397775977,7.28247586312264,7.11285692758645,4.63315895431737,5.18781836767059,5.86153268049169,8.22276244740438,6.33783791997458,5.73620320689154,6.17041943388422,6.81602640692616,6.76112061632784,5.85030267358991,5.04461071730456
"gene050",6.65564788340221,6.65320433964919,4.94363158682909,6.12882142860238,5.02861477084814,4.37438326078871,7.35336189394267,6.93103290148488,6.54611515832953,5.98877831386959,7.37607911136477,7.02700461929143,6.46229346594133,6.16717412116052,5.53351593820924,4.96670292089462,6.72361262405886,8.72719638791127,5.65832676299091,5.56678565138889,6.39873433601841,8.6024688972798,5.58653342362382,6.44082408725415,6.03240078754692,6.69241963624475,5.57341109077422,4.26628781611677,6.74787328786317,4.78959087894327
